datetime,D20Z,D21Z,D22Z,V23Z,V24Z,D51Z,D52Z,D54Z,V55Z,V56Z,D80Z,D81Z,D82Z,V83Z,V84Z,V85Z,D110Z,D111Z,D112Z,V113Z,V114Z,V115Z,V116Z,V117Z,V118Z,Total
2024-03-01 08:40:00,16,56,70,24,47,194,1,53,35,0,30,105,0,13,9,6,1,103,56,36,54,13,26,69,53,1070
2024-03-01 08:50:00,11,43,74,28,47,56,1,24,22,0,27,112,0,20,10,11,0,85,52,33,58,19,27,78,62,900
2024-03-01 09:00:00,10,33,53,20,42,79,0,39,33,0,34,86,6,15,8,17,1,89,45,34,51,12,13,77,53,850
2024-03-01 09:10:00,22,53,78,33,45,154,0,30,31,0,30,98,0,12,12,9,3,97,53,51,74,13,23,83,72,1076
2024-03-01 09:20:00,18,48,57,27,39,86,0,28,18,0,19,71,0,25,6,6,3,99,33,31,48,6,32,87,60,847
2024-03-01 09:30:00,14,50,70,29,36,190,0,87,22,0,24,66,5,19,3,11,0,90,55,33,61,15,30,81,72,1063
2024-03-01 09:40:00,12,57,80,30,38,94,0,27,30,0,33,94,0,23,9,7,2,85,45,38,61,13,28,82,72,960
2024-03-01 09:50:00,14,50,76,29,52,180,0,41,28,0,19,56,0,22,10,10,1,91,45,38,54,11,24,71,72,994
2024-03-01 10:00:00,18,46,60,23,43,48,0,28,30,0,28,78,0,15,13,13,2,69,37,29,40,16,18,62,49,765
2024-03-01 10:10:00,18,50,58,24,38,58,0,33,35,0,31,80,0,12,6,9,2,83,34,29,42,28,24,80,56,830
2024-03-01 10:20:00,17,56,67,33,37,57,0,30,31,0,22,85,0,18,15,7,0,90,57,47,64,136,27,96,53,1045
2024-03-01 10:30:00,13,41,45,15,30,46,0,24,33,0,26,65,0,16,4,4,0,82,25,39,46,257,24,68,45,948
2024-03-01 10:40:00,12,52,55,20,45,284,0,27,29,0,20,66,0,18,8,6,1,92,40,37,46,164,21,81,56,1180
2024-03-01 10:50:00,12,35,45,16,40,157,0,70,20,0,19,61,1,18,7,9,0,70,25,30,43,152,16,73,46,965
2024-03-01 11:00:00,16,61,79,24,56,223,0,27,29,0,32,71,9,17,6,10,0,111,54,30,51,170,25,83,68,1252
2024-03-01 11:10:00,9,34,60,21,48,188,0,30,30,0,32,65,0,16,16,8,1,85,34,45,59,272,15,97,62,1227
2024-03-01 11:20:00,10,30,58,19,35,47,0,25,27,0,20,75,0,17,6,13,3,90,39,33,51,224,25,70,46,963
2024-03-01 11:30:00,17,50,54,20,37,55,1,23,44,0,17,65,0,19,4,5,2,109,50,35,48,204,18,99,40,1016
2024-03-01 11:40:00,14,49,57,30,39,51,0,26,32,0,34,94,0,9,8,6,3,103,40,35,48,177,21,88,50,1014
2024-03-01 11:50:00,10,41,45,24,37,45,0,31,26,0,34,81,5,13,12,0,0,88,34,37,44,205,8,72,36,928
2024-03-01 12:00:00,29,57,65,30,46,305,0,24,26,0,22,76,4,20,3,9,3,113,54,24,53,336,28,87,61,1475
2024-03-01 12:10:00,18,62,49,21,52,429,0,34,29,0,26,89,0,14,8,9,3,126,54,24,55,363,32,78,46,1621
2024-03-01 12:20:00,15,50,58,33,46,504,0,37,31,0,27,84,1,19,18,13,1,118,46,31,53,207,17,87,60,1556
2024-03-01 12:30:00,13,33,56,18,34,73,0,40,37,0,23,81,0,18,9,5,0,104,51,27,54,148,15,73,56,968
2024-03-01 12:40:00,11,48,65,19,47,95,0,52,50,0,28,91,0,16,9,9,6,128,59,35,55,261,16,102,59,1261
2024-03-01 12:50:00,11,49,53,29,45,77,0,41,36,0,34,86,0,12,12,10,3,125,44,49,60,161,19,103,45,1104
2024-03-01 13:00:00,19,62,64,36,41,73,0,46,40,0,29,95,5,14,12,12,1,110,52,39,59,370,21,88,60,1348
2024-03-01 13:10:00,18,69,70,35,44,84,0,28,35,0,33,83,0,14,17,12,4,141,49,38,59,226,23,116,63,1261
2024-03-01 13:20:00,23,64,59,36,43,254,0,36,33,0,34,87,0,21,7,15,1,129,57,34,53,163,23,99,51,1322
2024-03-01 13:30:00,17,56,63,21,35,193,0,51,43,0,25,90,1,15,11,10,4,145,65,33,55,202,18,102,55,1310
2024-03-01 13:40:00,16,61,62,26,42,309,0,97,43,0,19,67,0,15,4,6,3,128,62,37,61,313,13,95,56,1535
2024-03-01 13:50:00,16,63,68,24,49,107,0,32,40,0,34,107,0,12,12,8,2,105,51,33,59,309,16,87,66,1300
2024-03-01 14:00:00,23,60,50,17,33,56,0,30,42,0,31,89,3,15,9,5,4,138,48,28,64,368,19,99,43,1274
2024-03-01 14:10:00,13,78,67,32,60,72,0,47,49,0,28,95,0,18,6,5,3,141,65,32,55,159,30,94,54,1203
2024-03-01 14:20:00,25,90,67,37,48,55,0,33,38,0,22,82,0,16,7,8,5,141,50,26,66,327,46,92,67,1348
2024-03-01 14:30:00,19,69,65,32,42,95,0,26,41,0,22,88,0,19,23,6,0,126,46,34,52,245,24,81,50,1205
2024-03-01 14:40:00,30,75,64,20,37,616,0,172,42,0,19,79,1,20,14,4,0,157,61,21,64,377,20,87,67,2047
2024-03-01 14:50:00,22,68,69,23,34,326,0,45,42,0,27,101,0,17,11,2,2,152,65,25,69,379,21,88,63,1651
2024-03-01 15:00:00,19,79,59,33,29,180,0,55,42,0,33,88,3,15,13,9,1,128,52,22,56,369,17,94,58,1454
2024-03-01 15:10:00,21,68,77,28,42,53,1,33,42,2,25,84,0,16,7,6,2,142,63,32,53,110,27,94,66,1094
2024-03-01 15:20:00,28,74,77,28,52,67,0,41,38,0,34,96,0,14,6,7,3,156,53,21,63,276,23,74,67,1298
2024-03-01 15:30:00,17,81,71,26,33,63,0,30,42,0,21,82,0,20,10,4,2,130,56,34,55,263,29,103,65,1237
2024-03-01 15:40:00,28,74,67,29,54,146,0,35,29,0,32,101,0,15,13,5,3,157,74,31,57,223,28,106,57,1364
