datetime,D21Z,D22Z,D23Z,V24Z,V25Z,V26Z,D81Z,V82Z,D91Z,V92Z,D111Z,D112Z,V113Z,V114Z,Total
2024-03-01 13:00:00,4,76,2,4,8,4,60,29,14,11,33,30,18,15,308
2024-03-01 13:10:00,6,74,5,4,10,5,57,26,13,9,44,33,18,16,320
2024-03-01 13:20:00,2,143,8,7,12,10,74,36,9,7,36,29,16,14,403
2024-03-01 13:30:00,5,82,8,3,7,7,51,18,14,10,43,22,14,17,301
2024-03-01 13:40:00,8,232,7,1,13,5,54,17,9,9,29,28,19,18,449
2024-03-01 13:50:00,2,167,9,0,20,8,57,27,9,7,34,27,12,11,390
2024-03-01 14:00:00,7,76,7,4,7,7,46,32,9,9,36,29,13,17,299
2024-03-01 14:10:00,3,89,6,4,20,8,44,24,4,6,31,35,16,16,306
2024-03-01 14:20:00,6,212,9,5,12,7,65,21,14,14,43,28,16,16,468
2024-03-01 14:30:00,3,60,11,3,12,8,65,20,14,13,35,26,20,14,304
2024-03-01 14:40:00,8,68,8,3,12,2,213,22,12,9,30,41,18,17,463
2024-03-01 14:50:00,9,84,6,3,9,4,69,22,22,11,26,37,20,14,336
2024-03-01 15:00:00,6,68,9,7,15,8,71,32,6,9,27,31,25,17,331
2024-03-01 15:10:00,3,80,7,2,14,5,71,19,13,8,42,33,18,19,334
2024-03-01 15:20:00,9,84,3,4,7,4,74,27,17,10,34,31,12,15,331
2024-03-01 15:30:00,8,77,6,6,15,7,64,24,8,6,34,31,20,17,323
2024-03-01 15:40:00,4,63,5,3,13,2,73,19,14,9,39,26,19,16,305
2024-03-01 15:50:00,9,63,8,6,15,5,62,27,12,10,29,28,18,15,307
2024-03-01 16:00:00,11,85,7,6,11,6,31,25,15,10,27,27,11,17,289
2024-03-01 16:10:00,8,73,3,6,9,3,20,23,13,11,37,26,20,15,267
2024-03-01 16:20:00,5,65,10,5,11,8,81,21,13,11,30,36,21,14,331
2024-03-01 16:30:00,3,62,10,3,13,11,79,31,3,3,30,30,17,17,312
2024-03-01 16:40:00,6,71,4,8,11,4,47,20,8,7,34,33,26,14,293
2024-03-01 16:50:00,5,63,10,5,10,7,74,28,54,9,22,38,15,13,353
2024-03-01 17:00:00,8,72,5,7,11,4,74,34,9,16,34,22,20,15,331
2024-03-01 17:10:00,7,66,10,4,9,10,69,30,11,9,33,38,20,18,334
2024-03-01 17:20:00,6,69,10,7,10,9,61,25,18,8,25,26,21,17,312
2024-03-01 17:30:00,6,76,11,5,7,6,65,29,16,7,46,32,17,15,338
2024-03-01 17:40:00,8,70,13,5,3,10,77,28,16,14,32,30,21,23,350
2024-03-01 17:50:00,7,78,9,7,9,6,69,27,12,9,28,24,23,12,320
2024-03-01 18:00:00,9,67,9,6,10,6,54,23,33,9,23,30,18,12,309
2024-03-01 18:10:00,6,69,4,4,11,3,63,29,9,12,36,30,19,10,305
2024-03-01 18:20:00,4,66,10,5,11,5,59,12,10,7,37,21,17,13,277
2024-03-01 18:30:00,2,73,10,2,8,6,59,34,7,9,24,24,20,21,299
2024-03-01 18:40:00,9,65,2,7,15,2,101,28,16,9,19,27,21,16,337
2024-03-01 18:50:00,6,74,13,9,15,7,60,21,9,9,8,26,18,13,288
2024-03-01 19:00:00,8,68,3,8,10,5,63,24,8,9,15,24,21,15,281
2024-03-01 19:10:00,3,49,7,5,11,7,39,23,6,6,37,25,12,17,247
2024-03-01 19:20:00,0,43,6,1,13,5,41,24,9,6,19,20,15,15,217
2024-03-01 19:30:00,1,57,3,5,12,4,47,33,10,10,20,10,22,16,250
2024-03-01 19:40:00,1,54,2,4,11,2,37,18,7,6,10,14,16,12,194
2024-03-01 19:50:00,2,40,4,3,16,3,39,24,12,7,24,15,14,17,220
2024-03-01 20:00:00,4,48,9,1,12,8,33,20,6,6,20,20,20,14,221
2024-03-01 20:10:00,2,31,8,4,15,4,40,22,1,3,17,23,23,16,209
2024-03-01 20:20:00,6,41,5,3,13,2,126,23,2,5,15,9,9,12,271
2024-03-01 20:30:00,3,45,2,5,18,2,25,16,5,4,14,12,18,10,179
2024-03-01 20:40:00,0,48,6,1,14,5,40,11,6,8,11,9,11,10,180
2024-03-01 20:50:00,1,45,4,2,18,4,30,17,4,9,18,8,14,8,182
2024-03-01 21:00:00,1,34,4,2,19,6,25,18,3,5,9,8,13,9,156
2024-03-01 21:10:00,3,33,4,2,14,4,32,20,5,4,12,18,13,14,178
2024-03-01 21:20:00,5,36,1,4,20,1,71,19,4,4,13,12,14,8,212
2024-03-01 21:30:00,2,34,3,2,17,3,22,14,3,2,12,9,15,10,148
2024-03-01 21:40:00,0,37,5,0,19,3,34,16,4,4,18,13,16,2,171
2024-03-01 21:50:00,0,34,2,2,16,3,29,18,6,4,11,7,11,7,150
2024-03-01 22:00:00,1,35,2,3,21,2,14,15,1,2,15,7,13,6,137
2024-03-01 22:10:00,3,36,5,2,21,5,29,22,1,1,14,9,17,10,175
2024-03-01 22:20:00,1,43,4,2,24,7,19,16,3,4,12,8,10,8,161
2024-03-01 22:30:00,0,37,2,0,15,2,35,20,3,4,12,12,17,13,172
2024-03-01 22:40:00,2,41,2,1,23,1,33,25,5,7,8,4,11,7,170
2024-03-01 22:50:00,0,28,6,0,14,4,22,15,2,4,19,18,21,17,170
2024-03-01 23:00:00,3,31,4,2,18,5,15,14,0,1,16,9,18,10,146
2024-03-01 23:10:00,2,30,2,1,18,1,9,9,3,4,11,7,14,11,122
2024-03-01 23:20:00,2,12,2,0,8,4,13,10,2,1,13,5,12,6,90
2024-03-01 23:30:00,1,23,0,1,16,0,16,12,2,2,9,2,10,6,100
2024-03-01 23:40:00,1,24,1,2,16,2,12,9,2,1,7,11,14,12,114
2024-03-01 23:50:00,5,21,2,5,19,3,16,12,2,2,9,4,12,7,119
2024-03-02 00:00:00,1,21,0,1,15,0,12,9,5,8,7,6,13,7,105
2024-03-02 00:10:00,1,15,0,1,13,0,7,7,0,0,66,8,11,4,133
2024-03-02 00:20:00,3,14,2,3,13,3,9,7,0,0,5,7,15,3,84
2024-03-02 00:30:00,6,21,3,3,13,4,11,7,1,1,9,4,10,7,100
2024-03-02 00:40:00,1,17,1,1,15,1,7,5,1,1,5,3,10,8,76
2024-03-02 00:50:00,1,15,0,2,15,0,6,7,19,0,5,1,5,2,78
2024-03-02 01:00:00,0,19,0,0,16,0,5,5,1,1,2,3,6,7,65
2024-03-02 01:10:00,0,13,0,0,11,1,7,11,6,4,3,1,8,4,69
2024-03-02 01:20:00,0,14,1,1,12,0,6,6,2,1,5,3,10,8,69
2024-03-02 01:30:00,0,4,1,0,4,0,8,8,1,0,2,4,9,5,46
2024-03-02 01:40:00,5,6,1,6,7,3,1,4,0,0,0,2,4,5,44
2024-03-02 01:50:00,0,8,2,0,6,3,8,7,1,0,1,4,9,8,57
2024-03-02 02:00:00,0,1,0,0,1,1,5,5,1,1,2,0,5,5,27
2024-03-02 02:10:00,1,6,3,1,7,2,4,5,2,1,0,2,4,6,44
2024-03-02 02:20:00,0,13,1,0,12,2,8,8,1,1,3,4,6,4,63
2024-03-02 02:30:00,0,6,0,0,6,1,5,5,1,0,0,1,1,2,28
2024-03-02 02:40:00,2,6,1,1,7,1,2,2,1,0,3,0,5,5,36
2024-03-02 02:50:00,0,9,1,0,9,2,2,2,1,1,0,3,2,3,35
2024-03-02 03:00:00,0,6,0,0,5,1,6,5,1,0,1,1,5,5,36
2024-03-02 03:10:00,0,4,2,0,5,2,7,7,1,1,0,1,7,8,45
2024-03-02 03:20:00,0,9,0,0,6,1,4,3,0,0,0,2,6,6,37
2024-03-02 03:30:00,1,5,1,1,4,1,7,6,2,1,0,4,4,5,42
2024-03-02 03:40:00,0,5,1,0,5,1,4,5,1,0,2,0,5,2,31
2024-03-02 03:50:00,0,3,1,0,4,1,3,3,1,1,1,2,7,7,34
2024-03-02 04:00:00,3,3,3,2,3,0,6,6,2,1,3,3,6,5,46
2024-03-02 04:10:00,0,3,0,0,3,0,2,2,0,0,0,2,7,8,27
2024-03-02 04:20:00,0,2,2,0,2,2,11,4,1,2,1,1,5,5,38
2024-03-02 04:30:00,1,3,0,1,2,0,3,2,0,1,1,0,2,1,17
2024-03-02 04:40:00,0,6,0,0,6,0,4,4,1,1,1,2,7,6,38
2024-03-02 04:50:00,0,2,0,0,2,1,5,5,1,2,1,2,9,9,39
2024-03-02 05:00:00,0,2,2,0,2,2,8,7,4,4,1,0,6,5,43
2024-03-02 05:10:00,0,3,0,0,3,0,5,5,0,2,1,3,4,6,32
2024-03-02 05:20:00,0,5,3,0,5,1,4,4,4,2,1,1,1,1,32
2024-03-02 05:30:00,0,2,1,0,3,1,12,9,2,2,0,3,1,3,39
2024-03-02 05:40:00,1,8,0,0,7,0,11,8,1,1,0,1,1,1,40
2024-03-02 05:50:00,0,8,1,0,8,1,6,7,0,0,3,3,7,5,49
2024-03-02 06:00:00,1,7,2,1,6,2,11,9,2,1,0,5,4,6,57
2024-03-02 06:10:00,0,10,1,0,9,1,11,8,0,0,2,2,5,6,55
2024-03-02 06:20:00,0,8,4,0,8,2,6,5,0,1,0,5,4,0,43
