datetime,D111Z,D21Z,D22Z,D51Z,D81Z,D82Z,D85Z,Total
2024-03-01 01:00:00,1,6,4,1,0,4,0,16
2024-03-01 01:10:00,0,3,3,4,1,4,0,15
2024-03-01 01:20:00,1,0,0,0,0,1,0,2
2024-03-01 01:30:00,0,3,3,1,2,1,0,10
2024-03-01 01:40:00,0,2,1,3,6,3,0,15
2024-03-01 01:50:00,0,2,1,2,5,1,0,11
2024-03-01 02:00:00,0,2,0,2,3,0,0,7
2024-03-01 02:10:00,0,1,1,1,0,1,0,4
2024-03-01 02:20:00,0,4,2,0,0,1,0,7
2024-03-01 02:30:00,0,2,3,3,2,2,0,12
2024-03-01 02:40:00,1,1,0,2,0,1,0,5
2024-03-01 02:50:00,1,3,1,4,0,0,0,9
2024-03-01 03:00:00,3,3,4,5,4,2,0,21
2024-03-01 03:10:00,2,2,1,1,2,1,0,9
2024-03-01 03:20:00,1,6,6,0,0,3,0,16
2024-03-01 03:30:00,1,1,0,3,3,3,0,11
2024-03-01 03:40:00,0,3,1,5,4,2,0,15
2024-03-01 03:50:00,2,2,3,1,3,3,0,14
2024-03-01 04:00:00,0,3,1,0,0,2,0,6
2024-03-01 04:10:00,1,8,2,2,2,3,0,18
2024-03-01 04:20:00,5,7,2,3,3,3,0,23
2024-03-01 04:30:00,1,2,2,0,7,3,0,15
2024-03-01 04:40:00,0,3,3,2,2,2,0,12
2024-03-01 04:50:00,0,6,4,4,5,7,0,26
2024-03-01 05:00:00,1,6,3,5,4,10,0,29
2024-03-01 05:10:00,4,14,2,7,7,10,0,44
2024-03-01 05:20:00,3,8,6,5,7,7,0,36
2024-03-01 05:30:00,2,8,11,4,16,9,0,50
2024-03-01 05:40:00,6,13,6,6,14,8,0,53
2024-03-01 05:50:00,7,16,12,8,24,7,0,74
2024-03-01 06:00:00,8,19,7,10,17,10,0,71
2024-03-01 06:10:00,9,18,12,9,17,15,0,80
2024-03-01 06:20:00,8,16,9,7,14,20,0,74
2024-03-01 06:30:00,9,17,14,16,17,15,0,88
2024-03-01 06:40:00,10,17,11,25,18,13,0,94
2024-03-01 06:50:00,10,26,19,24,24,13,0,116
2024-03-01 07:00:00,16,27,10,19,22,18,0,112
2024-03-01 07:10:00,33,51,20,15,17,16,0,152
2024-03-01 07:20:00,22,31,18,14,35,13,0,133
2024-03-01 07:30:00,31,25,20,33,26,10,0,145
2024-03-01 07:40:00,29,35,27,24,28,25,0,168
2024-03-01 07:50:00,27,45,25,22,33,21,0,173
2024-03-01 08:00:00,18,34,20,17,16,23,0,128
2024-03-01 08:10:00,25,31,24,19,24,21,0,144
2024-03-01 08:20:00,19,36,13,20,21,17,0,126
2024-03-01 08:30:00,20,34,25,20,19,24,0,142
2024-03-01 08:40:00,17,39,27,13,27,26,0,149
2024-03-01 08:50:00,13,28,23,18,23,12,0,117
2024-03-01 09:00:00,20,35,31,18,24,21,0,149
2024-03-01 09:10:00,23,27,18,16,17,16,0,117
2024-03-01 09:20:00,12,31,17,19,26,23,0,128
2024-03-01 09:30:00,22,32,23,23,21,21,0,142
2024-03-01 09:40:00,17,27,16,64,28,22,0,174
2024-03-01 09:50:00,11,35,23,21,27,25,0,142
2024-03-01 10:00:00,14,33,17,15,21,25,0,125
2024-03-01 10:10:00,16,25,18,15,20,28,0,122
2024-03-01 10:20:00,24,39,24,20,32,29,0,168
2024-03-01 10:30:00,17,41,18,19,23,26,0,144
2024-03-01 10:40:00,14,41,19,17,19,20,0,130
2024-03-01 10:50:00,11,44,25,19,25,21,0,145
2024-03-01 11:00:00,12,39,15,17,29,24,0,136
2024-03-01 11:10:00,13,22,20,12,19,24,0,110
2024-03-01 11:20:00,16,58,14,17,29,27,0,161
2024-03-01 11:30:00,22,39,18,22,27,16,0,144
2024-03-01 11:40:00,18,44,20,20,34,32,0,168
2024-03-01 11:50:00,16,43,12,13,22,28,0,134
2024-03-01 12:00:00,17,46,25,25,27,28,0,168
2024-03-01 12:10:00,35,50,27,31,32,24,0,199
2024-03-01 12:20:00,19,40,25,29,38,22,0,173
2024-03-01 12:30:00,28,37,21,35,28,22,0,171
2024-03-01 12:40:00,25,41,26,30,34,26,0,182
2024-03-01 12:50:00,14,59,21,30,32,29,0,185
2024-03-01 13:00:00,16,38,22,32,27,32,0,167
2024-03-01 13:10:00,8,33,10,13,17,23,0,104
2024-03-01 13:20:00,20,40,18,28,33,21,0,160
2024-03-01 13:30:00,25,47,25,32,37,23,0,189
2024-03-01 13:40:00,16,40,25,27,33,27,0,168
2024-03-01 13:50:00,16,46,21,20,28,25,0,156
2024-03-01 14:00:00,23,57,24,28,29,28,0,189
2024-03-01 14:10:00,16,41,15,27,25,24,0,148
2024-03-01 14:20:00,17,51,28,32,38,33,0,199
2024-03-01 14:30:00,29,57,31,24,30,21,0,192
2024-03-01 14:40:00,25,50,25,41,22,22,0,185
2024-03-01 14:50:00,19,53,15,31,37,27,0,182
2024-03-01 15:00:00,27,47,18,25,22,27,0,166
2024-03-01 15:10:00,26,47,13,38,21,23,0,168
2024-03-01 15:20:00,22,56,17,45,28,27,0,195
2024-03-01 15:30:00,19,104,29,29,44,31,0,256
2024-03-01 15:40:00,16,65,27,31,17,26,0,182
2024-03-01 15:50:00,16,36,15,19,42,18,0,146
2024-03-01 16:00:00,12,37,19,27,15,20,0,130
2024-03-01 16:10:00,18,57,16,25,24,33,0,173
2024-03-01 16:20:00,21,41,22,38,34,26,0,182
2024-03-01 16:30:00,20,37,21,34,27,20,0,159
2024-03-01 16:40:00,31,53,33,31,27,26,0,201
2024-03-01 16:50:00,19,41,55,23,33,24,0,195
